用户Id,关注数,粉丝数,关注的人,粉丝
1405128357,68,5,"[1148073514, 1383466044, 1403576098, 1134975277, 1413682191, 1390653037, 1144084351, 1399405542, 1401592538, 1149832411, 1138843379, 1397533274, 1017821491, 1405592798, 1397244308, 1020483277, 1028404243, 1036090014, 1146862395, 1411149241, 5002857, 1401640226, 1407299856, 1146650155, 1401726968, 1410819682, 1403743133, 1412812557, 1401560370, 1147612376, 1396594687, 1397313352, 1397326667, 1390094105, 1493522, 1404765566, 1025761508, 1493722, 1399352229, 1493723, 1493721, 1399756414, 1401454045, 1407872944, 1403930803, 1143203516, 1405044255, 1407871880, 1148444240, 1151608129, 1402867383, 1143229583, 1407871898, 1406508069, 1407835483, 1032588351, 1407839772, 1401549107, 1404409482, 1145428538, 1025763475, 1494870, 1024916070, 1494871, 1146385813, 1392116793, 1494872, 1494873]","[1146385813, 1476895971, 1413682191, 1015608221, 1028404243]"
1016261500,0,0,[],[]
1404462350,0,0,[],[]
1417965760,1,0,[1388454342],[]
1404707452,0,0,[],[]
1404616056,0,0,[],[]
1140089044,0,0,[],[]
1399546020,1,0,[1396594687],[]
1397775749,3,0,"[1397895218, 4462001, 1144049397]",[]
1447750706,0,0,[],[]
1412689932,1,0,[1421870723],[]
1400717315,0,0,[],[]
1029868923,0,0,[],[]
1036099235,10,0,"[1015733610, 1024916070, 1036084064, 1493221, 1143364769, 1031987801, 1397257219, 1023441755, 5850197, 1017191631]",[]
1145148269,0,0,[],[]
1459750171,0,0,[],[]
1412443539,0,0,[],[]
1402644278,0,0,[],[]
1146927547,0,0,[],[]
1149937706,0,0,[],[]
1480336060,0,0,[],[]
1410206132,0,0,[],[]
1434804981,0,0,[],[]
1386064878,0,0,[],[]
1446783326,0,0,[],[]
1476683786,0,0,[],[]
1149663036,2,0,"[1392118146, 1396594687]",[]
1466696020,0,0,[],[]
1026158714,0,0,[],[]
1469621543,1,0,[1017628023],[]
1462875469,0,0,[],[]
9730808,0,0,[],[]
1147003945,1,0,[1396594687],[]
1449776203,0,1,[],[1459147711]
1407360502,0,0,[],[]
1398632260,0,0,[],[]
1022322476,7,0,"[1396594687, 1396608572, 1493781, 1017548482, 1494751, 1015011907, 1031825295]",[]
1141106199,1,0,[1493830],[]
1426676087,0,0,[],[]
1410055141,0,0,[],[]
1389834398,0,0,[],[]
1402261721,1,0,[1396594687],[]
1412535146,0,0,[],[]
1135896887,0,0,[],[]
1022907716,0,0,[],[]
1399806919,0,0,[],[]
1406021550,0,0,[],[]
1399546892,0,0,[],[]
1405638659,1,0,[1396594687],[]
1405486597,2,0,"[1493747, 1396594687]",[]
1147903976,1,0,[1396594687],[]
1399545933,0,0,[],[]
1405262807,0,0,[],[]
1402872998,1,0,[1396594687],[]
1148025559,0,0,[],[]
1398949905,0,0,[],[]
1399525963,0,0,[],[]
1404461590,0,0,[],[]
1401654625,0,0,[],[]
5118733,11,0,"[1495574, 1396594687, 1034961363, 1030522586, 1396028435, 1408304361, 1408003911, 1017191631, 5698024, 1031825295, 1036090014]",[]
1471921119,0,0,[],[]
1461858906,0,0,[],[]
1435247528,0,0,[],[]
1420787103,0,0,[],[]
1024472217,0,0,[],[]
1443748704,0,0,[],[]
1460331030,0,0,[],[]
1150366739,0,0,[],[]
1473766572,0,0,[],[]
1451101359,2,0,"[1397992195, 1403951432]",[]
1444120761,0,0,[],[]
1466425224,0,0,[],[]
1475307734,0,0,[],[]
1383966951,0,0,[],[]
1464540699,0,0,[],[]
1466770462,0,0,[],[]
1384906652,0,0,[],[]
1480064173,0,0,[],[]
1035986173,0,0,[],[]
1480091035,0,0,[],[]
