评论者id,简介,学校id,类型,最高学历,关注数,粉丝数,贴子数,回复数,评论数,学习时长
1405128357,自强不息 奋斗不止,,2,0,68,5,12,160,4,43055
1016261500,,,2,,0,0,0,13,0,6269
1404462350,,,2,,0,0,0,0,0,2
1417965760,,,1,4,1,0,0,19,0,1393
1404707452,,,,,0,0,0,0,0,0
1404616056,,,,,0,0,0,0,0,0
1140089044,,,,,0,0,0,0,0,0
1399546020,,,,,1,0,0,5,0,146
1397775749,,,1,0,3,0,1,0,0,8510
1447750706,,,1,,0,0,0,0,0,638
1412689932,希望很久以后，我能做你的骄傲。,,1,3,1,0,1,37,0,911
1400717315,,,1,,0,0,1,1,0,5571
1029868923,,,,,0,0,2,19,0,243
1036099235,,,2,0,10,0,0,0,0,7982
1145148269,,,2,0,0,0,2,89,0,1944
1459750171,,,2,0,0,0,0,2,0,1084
1412443539,,,2,,0,0,0,6,0,4147
1402644278,,,1,5,0,0,0,52,0,2000
1146927547,,,2,0,0,0,0,23,0,4486
1149937706,,,3,0,0,0,0,19,0,665
1480336060,,,1,0,0,0,0,24,0,2136
1410206132,,,1,7,0,0,0,2,0,360
1434804981,,,1,0,0,0,0,15,0,2666
1386064878,你嘅情敌睇紧书,,1,5,0,0,0,90,0,26274
1446783326,简单自由，做我自己，做自己喜欢的事,,3,0,0,0,0,6,0,2341
1476683786,,,2,,0,0,0,10,0,671
1149663036,,,2,0,2,0,2,72,0,13946
1466696020,,,1,0,0,0,0,0,0,1552
1026158714,,,2,,0,0,1,36,0,1948
1469621543,汽车钣金喷漆,,2,0,1,0,1,22,0,38292
1462875469,,,2,0,0,0,0,0,0,2241
9730808,,,2,0,0,0,1,4,3,16543
1147003945,学习让我强大！,,2,0,1,0,0,23,0,2648
1449776203,,,2,0,0,1,2,51,0,9659
1449776203,,,2,0,0,1,2,51,0,9659
1407360502,,,2,0,0,0,0,0,0,3530
1398632260,一别都门三改火，天涯踏进红尘。依然一笑作春温。,,1,5,0,0,3,24,1,5082
1022322476,中学地理老师一枚！,,2,5,7,0,11,155,2,187808
1141106199,,,2,0,1,0,1,7,0,2686
1426676087,,,2,0,0,0,0,115,0,13159
1410055141,,,1,4,0,0,17,71,0,109969
1389834398,加油，心理咨询师！！,,2,,0,0,0,10,0,705
1402261721,,,2,0,1,0,0,1,0,171
1412535146,,,1,0,0,0,0,0,0,211
1135896887,,,2,0,0,0,2,3,0,1128
1022907716,,,1,,0,0,0,0,0,2143
1399806919,,,2,5,0,0,0,18,4,12415
1406021550,,,1,0,0,0,0,0,0,1576
1399546892,,,1,,0,0,0,13,0,1413
1405638659,,,,,1,0,19,8,0,68
1405486597,喜爱心理学，家庭教育及青少年儿童健康教育,,2,,2,0,0,0,0,223
1147903976,,,1,0,1,0,0,0,0,2318
1399545933,,,1,,0,0,3,17,2,595
1405262807,一个在从教路上有很多疑惑但也从未停止探索学习的新手,,2,0,0,0,0,1,1,425
1402872998,,,,,1,0,0,5,0,563
1148025559,,,,,0,0,0,13,0,200
1398949905,,,1,,0,0,0,8,0,1053
1399525963,,,,,0,0,0,0,0,0
1404461590,,,,,0,0,0,3,0,30
1401654625,,,1,5,0,0,0,45,0,4221
5118733,本人给排水专业，毕业20多年，一直从事施工及房地产地行业。喜欢学习专业知识，也愿意观注自已的内心成长，希望遇见明天更好的自己。,,2,0,11,0,2,82,6,41577
1471921119,,,2,0,0,0,0,23,0,1681
1461858906,,,1,0,0,0,0,0,0,741
1435247528,,,3,5,0,0,13,206,0,769
1420787103,"I Don’t No.
我经常会迷茫。",,3,4,0,0,0,3,0,12522
1024472217,,,2,0,0,0,0,0,0,4411
1443748704,,,1,,0,0,0,0,0,1545
1460331030,,,1,5,0,0,0,0,0,1267
1150366739,,,2,0,0,0,2,46,0,6328
1473766572,,,1,5,0,0,0,17,0,3855
1451101359,不是心理学科班出身，但一直在学习心理学的路上，勤奋刻苦，努力上进，不断学习，以保证自己在学已至用中能助人自助。,,2,0,2,0,3,8,0,7896
1444120761,,,1,,0,0,0,0,0,508
1466425224,,,3,0,0,0,0,36,0,586
1475307734,,,1,0,0,0,0,17,0,1655
1383966951,,,1,5,0,0,0,0,0,2762
1464540699,,,2,0,0,0,0,0,0,1786
1466770462,,,2,0,0,0,0,8,0,2365
1384906652,,,1,0,0,0,0,2,0,2539
1480064173,,,3,,0,0,0,0,0,1274
1035986173,,,2,5,0,0,0,0,0,1416
1480091035,,,2,0,0,0,0,37,0,2115
1404248871,"<p>陈彩琦，博士，华南师范大学心理学系副教授，硕士生导师，纽约市立大学皇后学院访问学者。专业领域为基础心理学，研究方向为认知与实验心理学，主要研究注意与认知控制的机制与干预。主讲实验心理学近20年，多次获课堂优秀教学奖、多次获评华南师范大学优秀教师。曾负责华南师大“心理学专业资源库的开发与应用”的建设工作，建立大型心理学专业资源库。开发《实验心理学》网络课程，完成多项实验心理学教学研究项目。“实验心理学在线开放课程“和“实验心理学教学团队”均为省级质量工程建设项目。曾主持多项广东省自然科学基金项目和省社会科学基金，参与多项国家自然科学基金项目、国家社会科学基金项目；出版或参与出版著作和教材12部；在包括Journal of Comparative Neurology, Neuropsychologia, 《心理学报》在内的学术刊物及重要会议上发表论文余50篇。</p><p>&nbsp;</p>",1001177001,,,1,211,241,529,1332,879
1477819385,,,2,0,0,0,1,1,0,1534
1476256644,努力做最好的自己,,3,0,0,0,3,28,0,3802
1446139306,,,1,5,0,0,0,20,0,2638
1443287611,,,1,5,0,0,0,16,0,2227
1477844321,,,2,,1,0,0,1,0,355
1151700073,,,1,0,0,0,0,0,0,1464
1410866271,,,1,0,0,0,7,0,0,3666
1029973847,,,2,0,0,0,0,0,0,17735
1469737735,,,2,6,0,0,5,31,2,1248
1469914842,,,2,0,0,0,1,42,0,2618
1470465188,我是一名追求者，追求自我成长。,,2,0,9,1,25,146,11,4705
1138059041,,,2,0,0,0,0,0,0,2612
1476803040,,,1,3,0,0,1,9,0,1793
1445041004,,,1,5,0,0,0,20,0,3211
1396985512,,,2,0,0,0,0,40,0,13186
1425557536,当智慧、美貌、才华、勇气、谋略集于一身的时候  ，你所指挥的骑士将会以国王之名，踏遍五洲 、雄踞天下、征服万国。,,1,5,0,0,0,13,0,3939
1477924614,,,1,5,0,0,0,71,0,1673
1429886417,,,1,5,0,0,0,0,0,1072
1034794709,,,1,,1,0,0,8,0,1971
1467511398,,,1,,0,0,0,4,0,2342
1445086950,你说黄昏似酒，道不尽挽留。,,1,5,0,0,1,15,0,3478
1476747455,,,1,0,0,0,1,12,0,1049
1473436835,,,1,5,0,0,0,29,0,505
1387899419,,,2,0,0,0,3,151,0,9086
1415399150,,,1,5,0,0,0,31,0,1778
1446472508,,,1,,0,0,0,14,0,1845
1446358402,,,1,4,0,0,0,32,0,123
1452499847,愿每一个家庭都是幸福的！,,2,0,0,0,0,37,0,9035
1142638596,,,2,0,0,0,0,15,0,4309
1477673290,,,1,3,0,0,0,20,0,773
1467976889,,,2,,0,0,0,101,0,1350
1453074131,,,1,0,0,0,0,25,0,7715
1473002842,不愿枉过此生。,,2,0,0,0,4,23,1,2372
1144672772,,,1,5,0,0,0,5,0,1119
1149909200,,,1,5,1,1,2,180,2,5738
1436847292,,,1,0,0,0,1,71,0,3887
1474705561,,,1,,1,0,0,1,0,530
1149371741,,,2,0,0,0,0,2,0,667
1476366679,好好学习努力工作,,3,0,0,0,2,24,0,575
1468255680,,,1,0,0,0,1,50,0,10423
1390188515,,,2,4,0,0,0,30,0,2001
1421829993,,,1,4,1,0,1,20,0,4925
1446064337,,,2,0,0,0,0,16,0,2515
2077615,,,1,0,0,2,12,835,32,44050
1406942086,,,1,5,0,0,0,1,0,3957
1469381657,,,2,0,0,0,0,15,0,7917
1477426364,,,1,3,0,0,0,18,0,596
1144112793,,,1,5,1,0,0,21,0,5086
1420312711,,,2,0,0,0,6,17,0,3112
1469166996,,,1,3,0,0,0,38,0,221
1424848075,,,1,5,0,0,0,209,0,13973
1441693670,,,2,0,0,0,0,57,0,102
