课程id,课程名,学校id,学校名称,教师id,教师姓名,参与人数,评价人数
1206390810,心理学基础,1001316001,上海大学,1396594687,许科,6784,454
1001573001,心理学与生活,9002,南京大学,1015733610,陈昌凯,140280,13441
1002032006,生活心理学,9005,哈尔滨工业大学,1015132041,裴秋宇,47041,419
1001515007,沟通心理学,9005,哈尔滨工业大学,1015132041,裴秋宇,95829,2856
1003410001,犯罪心理学,1001171002,中国政法大学,1148075592,刘建清,50298,568
1002525010,心理学入门,8012,东北大学,1023620592,陈红兵,61046,498
1003721005,情商与智慧人生,1001169001,海南师范大学,1024639497,董宇艳,54643,108
1205793808,好心态  如何自己造——心理健康教育,39001,湖南师范大学,1385265646,肖汉仕,1837,729
1003545121,音乐心理学,1001532001,上海师范大学,1149897340,蒋存梅,387,654
1463180166,异常心理与危机干预,35001,西南交通大学,2803738,张学伟,3618,26
1206454819,心理学工作伦理与督导,35001,西南交通大学,1397240428,田瑞琪,1642,117
1461522173,心理统计学,1001177001,华南师范大学,1409459415,陈启山,5862,117
1461181181,情绪与健康,125001,首都师范大学,1144869251,赵婧,7481,83
1003045001,心理学导论,9013,电子科技大学,1493802,曾维希,14959,163
1003570008,跨文化沟通心理学,8015,华东师范大学,1150529121,严文华,2058,108
1205921805,社会心理学,9007,西安交通大学,1016517500,童梅,16244,678
1002587003,探索心理学,35001,西南交通大学,2675338,宁维卫,5054,397
1461106168,人格理论与个人成长,8007,北京理工大学,1444113809,李波,5145,139
1206493811,发展与教育心理学,35001,西南交通大学,1397534177,何立群,1876,6
1003562006,积极心理学,1001167002,东北师范大学,1150102760,盖笑松,12920,289
1206451819,生涯发展与职业心理素质提升训练,35001,西南交通大学,1399712541,陈华,2044,212
1463199166,抑郁症的心理辅导,9010,武汉大学,1021347744,张荣华,11813,312
1461785175,实验心理学概论：管理学和语言学实验研究方法入门,1001437002,上海外国语大学,1448406809,徐四华,686,14
1206624828,发展心理学,13001,北京大学,1398291533,苏彦捷,18100,989
1207048816,实验心理学,1001177001,华南师范大学,1404248871,陈彩琦,7727,471
1206504809,实验心理学：学会研究身边的现象,35001,西南交通大学,2744048,冉俐雯,3027,58
1002939001,心理发展与个体成长——发展心理学,1001501001,通化师范学院,1020416756,任金杰,1338,800
1461542169,医学心理学,13001,北京大学,1446683859,官锐园,6686,65
1206447827,生理心理学,125001,首都师范大学,1397245007,李新旺,2546,108
1460925166,心理学与生活,8015,华东师范大学,1443375806,汪晨波,8322,525
1207058807,发展与教育心理学,1001255001,福建师范大学,1403954888,连榕,3461,277
1003016011,人格心理学,125001,首都师范大学,5850197,师保国,17132,450
234018,管理心理学（上）,9013,电子科技大学,1493685,祝小宁,7642,450
1205705805,创新创业中的消费心理洞察,1001255001,福建师范大学,1384359426,莫莉,1276,505
1205897802,大学生心理学,20002,中央财经大学,1387104778,苑媛,4570,169
1461602168,运动心理学,1001477001,上海体育学院,1444458166,王小春,1720,122
235011,心理健康与创新能力,9013,电子科技大学,1493801,李媛,4573,288
1206450817,教育心理学,165001,北京联合大学,1397951705,牟书,10527,443
1207057808,心理统计与SPSS,1001255001,福建师范大学,1403951432,孟迎芳,6408,327
1461588171,E-Prime实验设计技术,1001177001,华南师范大学,1418544653,曾祥炎,2580,19
1003386001,心理咨询与心理健康,1001568001,北京林业大学,1147638572,朱建军,3968,790
